"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","8.8.8.8","192.168.3.249","TCP","66","443  >  56140 [ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333349 TSecr=3434438439"
"2","0.040908853","8.8.8.8","192.168.3.249","TCP","66","443  >  56140 [FIN, ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333349 TSecr=3434438439"
"3","0.040909584","8.8.8.8","192.168.3.249","TCP","60","443  >  56140 [RST] Seq=1 Win=0 Len=0"
"4","0.041538149","192.168.3.249","8.8.8.8","TCP","74","56152  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3434439125 TSecr=0 WS=128"
"5","0.172054443","8.8.8.8","192.168.3.249","TCP","86","443  >  56136 [ACK] Seq=1 Ack=1 Win=114 Len=0 TSval=16333356 TSecr=3434437810 SLE=1449 SRE=1753 SLE=1449 SRE=1753"
"6","0.172127882","8.8.8.8","192.168.3.249","TCP","66","443  >  56150 [ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333359 TSecr=3434438647"
"7","0.232840322","192.168.3.249","192.168.3.1","DNS","85","Standard query 0x2165 A colab.research.google.com"
"8","0.237973493","8.8.8.8","192.168.3.249","TCP","66","443  >  56150 [FIN, ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333359 TSecr=3434438647"
"9","0.238152875","192.168.3.249","8.8.8.8","TCP","66","56150  >  443 [FIN, ACK] Seq=337 Ack=2 Win=251 Len=0 TSval=3434439322 TSecr=16333359"
"10","0.238331802","192.168.3.249","8.8.8.8","TCP","74","53914  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3434439322 TSecr=0 WS=128"
"11","0.250725031","8.8.8.8","192.168.3.249","TCP","60","443  >  56150 [RST] Seq=1 Win=0 Len=0"
"12","0.260670279","8.8.4.4","192.168.3.249","TCP","66","443  >  58934 [ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333380 TSecr=3723070382"
"13","0.260745144","8.8.4.4","192.168.3.249","TCP","66","443  >  58934 [FIN, ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333380 TSecr=3723070382"
"14","0.260760523","8.8.4.4","192.168.3.249","TCP","60","443  >  58934 [RST] Seq=1 Win=0 Len=0"
"15","0.260774470","8.8.4.4","192.168.3.249","TCP","66","443  >  58946 [ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333385 TSecr=3723070428"
"16","0.261186201","192.168.3.249","8.8.4.4","TCP","74","45982  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=3723071062 TSecr=0 WS=128"
"17","0.264102816","8.8.4.4","192.168.3.249","TCP","66","443  >  58946 [FIN, ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333385 TSecr=3723070428"
"18","0.264285516","192.168.3.249","8.8.4.4","TCP","66","58946  >  443 [FIN, ACK] Seq=369 Ack=2 Win=251 Len=0 TSval=3723071065 TSecr=16333385"
"19","0.291959267","8.8.4.4","192.168.3.249","TCP","60","443  >  58946 [RST] Seq=1 Win=0 Len=0"
"20","0.292041514","8.8.4.4","192.168.3.249","TCP","66","443  >  58948 [ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333391 TSecr=3723070477"
"21","0.292057091","8.8.4.4","192.168.3.249","TCP","66","443  >  58948 [FIN, ACK] Seq=1 Ack=1 Win=136 Len=0 TSval=16333391 TSecr=3723070477"
"22","0.292072173","8.8.4.4","192.168.3.249","TCP","60","443  >  58948 [RST] Seq=1 Win=0 Len=0"
"23","0.292082701","8.8.8.8","192.168.3.249","TCP","74","443  >  56152 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333392 TSecr=3434439125 WS=128"
"24","0.292108363","192.168.3.249","8.8.8.8","TCP","66","56152  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=3434439376 TSecr=16333392"
"25","0.292682870","192.168.3.249","8.8.8.8","TCP","1514","56152  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=1448 TSval=3434439376 TSecr=16333392 [TCP segment of a reassembled PDU]"
"26","0.292690994","192.168.3.249","8.8.8.8","TLSv1","402","Client Hello"
"27","0.330855415","192.168.3.1","192.168.3.249","DNS","173","Standard query response 0x2165 A colab.research.google.com CNAME colab-alv.research.google.com A 216.239.38.180 A 216.239.36.180 A 216.239.32.180 A 216.239.34.180"
"28","0.330919727","64:d1:54:9d:1c:77","Broadcast","ARP","60","Who has 192.168.3.161? Tell 192.168.3.1"
"29","0.330969584","192.168.3.249","192.168.3.1","DNS","85","Standard query 0xa178 AAAA colab.research.google.com"
"30","0.362877508","8.8.8.8","192.168.3.249","TCP","60","443  >  56150 [RST] Seq=2 Win=0 Len=0"
"31","0.366661501","8.8.8.8","192.168.3.249","TCP","74","443  >  53914 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333413 TSecr=3434439322 WS=128"
"32","0.366739575","192.168.3.249","8.8.8.8","TCP","66","53914  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=3434439450 TSecr=16333413"
"33","0.368559992","192.168.3.249","8.8.8.8","TCP","1514","53914  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=1448 TSval=3434439452 TSecr=16333413 [TCP segment of a reassembled PDU]"
"34","0.368599778","192.168.3.249","8.8.8.8","TLSv1","434","Client Hello"
"35","0.413628691","8.8.4.4","192.168.3.249","TCP","74","443  >  45982 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM TSval=16333418 TSecr=3723071062 WS=128"
"36","0.413709075","192.168.3.249","8.8.4.4","TCP","66","45982  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=3723071214 TSecr=16333418"
"37","0.415038271","192.168.3.249","8.8.4.4","TCP","1514","45982  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=1448 TSval=3723071216 TSecr=16333418 [TCP segment of a reassembled PDU]"
"38","0.415072059","192.168.3.249","8.8.4.4","TLSv1","402","Client Hello"
"39","0.426046495","8.8.4.4","192.168.3.249","TCP","60","443  >  58946 [RST] Seq=2 Win=0 Len=0"
"40","0.486575285","fe80::a2cb:c214:849b:39ea","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"41","0.487524145","192.168.3.254","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"42","0.490450407","8.8.8.8","192.168.3.249","TCP","66","443  >  56152 [ACK] Seq=1 Ack=1449 Win=17408 Len=0 TSval=16333423 TSecr=3434439376"
"43","0.490515220","8.8.8.8","192.168.3.249","TCP","66","443  >  56152 [FIN, ACK] Seq=1 Ack=1449 Win=17408 Len=0 TSval=16333423 TSecr=3434439376"
"44","0.490986736","192.168.3.249","8.8.8.8","TCP","66","56152  >  443 [FIN, ACK] Seq=1785 Ack=2 Win=32128 Len=0 TSval=3434439575 TSecr=16333423"
"45","0.492947339","192.168.3.66","224.0.0.251","MDNS","290","Standard query response 0x0000 PTR, cache flush Android-9.local PTR, cache flush Android-9.local A, cache flush 192.168.3.66 AAAA, cache flush fe80::ccac:b8ff:fec9:567f NSEC, cache flush 66.3.168.192.in-addr.arpa NSEC, cache flush F.7.6.5.9.C.E.F.F.F.8.B.C.A.C.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-9.local"
"46","0.532984950","192.168.3.254","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"47","0.534222470","fe80::a2cb:c214:849b:39ea","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"48","0.535230095","192.168.3.254","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"49","0.544899003","fe80::a2cb:c214:849b:39ea","ff02::fb","MDNS","107","Standard query 0x0000 ANY SHEHU-DESKTOP-IQR9SRQ.local, ""QM"" question"
"50","0.557190487","192.168.3.254","224.0.0.251","MDNS","125","Standard query response 0x0000 AAAA fe80::a2cb:c214:849b:39ea A 192.168.3.254"
"51","0.570525849","fe80::a2cb:c214:849b:39ea","ff02::1:3","LLMNR","101","Standard query 0x2cb3 ANY SHEHU-DESKTOP-IQR9SRQ"
"52","0.571585839","192.168.3.254","224.0.0.252","LLMNR","81","Standard query 0x2cb3 ANY SHEHU-DESKTOP-IQR9SRQ"
"53","0.652883768","192.168.3.249","8.8.8.8","TCP","434","[TCP Retransmission] 53914  >  443 [PSH, ACK] Seq=1449 Ack=1 Win=32128 Len=368 TSval=3434439737 TSecr=16333413"
"54","0.691621462","192.168.3.1","192.168.3.249","DNS","113","Standard query response 0xa178 AAAA colab.research.google.com AAAA 2a00:1450:4003:803::200e"
"55","0.692368181","192.168.3.249","192.168.3.1","DNS","85","Standard query 0x18f3 A colab.research.google.com"
"56","0.748869962","192.168.3.249","8.8.4.4","TCP","402","[TCP Retransmission] 45982  >  443 [PSH, ACK] Seq=1449 Ack=1 Win=32128 Len=336 TSval=3723071550 TSecr=16333418"
"57","0.858801783","8.8.8.8","192.168.3.249","TCP","66","443  >  53914 [ACK] Seq=1 Ack=1449 Win=17408 Len=0 TSval=16333462 TSecr=3434439452"
"58","0.858879852","8.8.8.8","192.168.3.249","TCP","66","443  >  53914 [FIN, ACK] Seq=1 Ack=1449 Win=17408 Len=0 TSval=16333462 TSecr=3434439452"
"59","0.859353703","192.168.3.249","8.8.8.8","TCP","66","53914  >  443 [FIN, ACK] Seq=1817 Ack=2 Win=32128 Len=0 TSval=3434439943 TSecr=16333462"
"60","0.934177612","8.8.8.8","192.168.3.249","TCP","60","443  >  53914 [RST] Seq=1 Win=0 Len=0"
